case_id,environment,tier,level,level_name,behavior,pair_id,needs_ambient_context,adversarial_type,experiment,profile,tool_size,gold_position,model,contract,tool_selection_exact,full_call_exact,sequence_success,arg_exact_match,arg_precision,arg_recall,arg_f1,e2e_success,expected_action,took_action,decision_correct,false_action,missed_action,destructive_action,abstained,asked_clarification,gold_tool_offered,n_expected_calls,n_actual_calls,n_tools_offered,confidence,latency_ms,peak_ram_mb,error,failure_types
smart_home.D0.01,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,raw,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,314.81670000084705,136.5,,
smart_home.D0.01,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,314.81670000084705,136.5,,
smart_home.D0.02,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,raw,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,351.9814999990558,137.4,,
smart_home.D0.02,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,351.9814999990558,137.4,,
smart_home.D0.03,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,raw,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,0.8882,313.5164999994231,137.6,,
smart_home.D0.03,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,0.8882,313.5164999994231,137.6,,
smart_home.D0.04,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,raw,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,276.82029999959923,137.6,,
smart_home.D0.04,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,276.82029999959923,137.6,,
smart_home.D0.05,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,raw,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,289.7081999990405,137.6,,
smart_home.D0.05,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,289.7081999990405,137.6,,
smart_home.D0.06,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.25,0.5,0.3333333333333333,False,True,True,True,False,False,False,False,False,True,1,4,10,1.0,913.0403999997724,137.6,,extra_tool|wrong_argument
smart_home.D0.06,smart_home,1,0,direct,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,1,10,1.0,913.0403999997724,137.6,,wrong_argument|gated_by_contract
smart_home.D1.01,smart_home,1,1,paraphrase,tool_call,,False,,profile,baseline,10,natural,needle3,raw,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,314.5022999997309,138.6,,
smart_home.D1.01,smart_home,1,1,paraphrase,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,314.5022999997309,138.6,,
smart_home.D1.02,smart_home,1,1,paraphrase,tool_call,,False,,profile,baseline,10,natural,needle3,raw,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,351.0857000001124,138.6,,
smart_home.D1.02,smart_home,1,1,paraphrase,tool_call,,False,,profile,baseline,10,natural,needle3,production@0.4,True,True,True,True,1.0,1.0,1.0,True,True,True,True,False,False,False,False,False,True,1,1,10,1.0,351.0857000001124,138.6,,
